,Code,Year,Deaths,Fertility,GDP ,GenderInequality,LifeExpectancy,tertiary_education
327,LVA,2000,278.0,1.2423,5244335616.0,0.275,70.3,7.73
328,LVA,2005,225.0,1.3831,9296753664.0,0.25,70.8,9.76
329,LVA,2010,173.0,1.3702,15366171648.0,0.231,73.0,12.42
330,MAR,1990,58561.0,4.0182,16996660224.0,0.741,62.4,2.98
331,MAR,1995,44238.0,3.33,24732241920.0,0.723,64.7,3.69
332,MAR,2000,33473.0,2.7957,25681963008.0,0.7,66.8,4.07
333,MAR,2005,26615.0,2.5682,34288537600.0,0.558,68.7,4.67
334,MAR,2010,21112.0,2.5858,,0.526,70.8,5.35
335,MDA,1990,2802.0,,2023413888.0,0.46,68.1,5.94
336,MDA,1995,2482.0,1.8307,1110804736.0,0.486,65.1,6.17
337,MDA,2000,1573.0,1.4988,851556864.0,0.396,66.4,6.68
338,MDA,2005,860.0,1.5308,1643580160.0,0.287,68.2,6.57
339,MDA,2010,771.0,1.6978,,0.284,69.4,
340,MDV,1990,782.0,6.0889,121133184.0,0.713,63.6,0.26
341,MDV,1995,495.0,4.3201,252826544.0,0.62,67.5,0.25
342,MDV,2000,243.0,2.7097,412643776.0,0.499,70.9,
343,MDV,2005,131.0,2.235,615891328.0,0.386,74.8,0.26
344,MDV,2010,99.0,2.3176,,0.406,77.7,0.25
345,MEX,1990,109134.0,3.4496,147952107520.0,0.505,70.0,3.87
346,MEX,1995,85661.0,3.0376,217850478592.0,0.479,71.6,5.12
347,MEX,2000,66873.0,2.7162,451844112384.0,0.46,73.6,6.84
348,MEX,2005,53034.0,2.4947,476488826880.0,0.426,74.4,8.41
349,MEX,2010,43803.0,2.3402,680268398592.0,0.408,74.2,9.81
350,MLI,1990,91598.0,7.2532,1510391168.0,0.674,46.6,0.27
351,MLI,1995,93984.0,6.989,1714975104.0,0.671,47.8,0.33
352,MLI,2000,94833.0,6.874,1952475904.0,0.67,50.5,0.5
353,MLI,2005,91774.0,6.7156,3434755072.0,0.665,54.0,0.68
354,MLI,2010,,6.5788,,0.666,56.4,0.78
355,MLT,1990,61.0,2.0404,1434597760.0,0.318,76.0,5.39
356,MLT,1995,48.0,1.786,2281004032.0,0.303,77.1,6.5
357,MLT,2000,35.0,1.6736,2615580160.0,0.299,77.6,7.4
358,MLT,2005,27.0,1.377,3294844416.0,0.285,79.6,7.58
359,MLT,2010,26.0,1.3729,,0.264,81.8,
360,MNG,1990,7562.0,,1442175616.0,0.491,58.8,8.08
361,MNG,1995,4997.0,2.7893,920190464.0,0.49,60.6,9.2
362,MNG,2000,2998.0,2.255,751409856.0,0.435,62.9,8.16
363,MNG,2005,2017.0,2.0282,1387904256.0,0.392,64.9,15.61
364,MNG,2010,1691.0,2.5126,,0.415,67.2,19.66
365,MOZ,1990,141665.0,6.2209,1414762240.0,0.626,44.5,0.13
366,MOZ,1995,143218.0,5.8948,1597945216.0,0.62,46.0,0.14
367,MOZ,2000,128492.0,5.8116,3315539712.0,0.6,49.5,0.2
368,MOZ,2005,112386.0,5.6087,4248099840.0,0.579,51.6,0.23
369,MOZ,2010,97695.0,5.6301,6571609600.0,0.56,54.2,0.26
370,MRT,1990,9289.0,6.056,574215680.0,0.808,59.8,
371,MRT,1995,9835.0,5.8509,896828288.0,0.799,60.3,0.93
372,MRT,2000,10880.0,5.4593,855016128.0,0.744,61.0,1.17
373,MRT,2005,11731.0,5.1902,1201440256.0,0.725,61.7,1.11
374,MRT,2010,11733.0,5.0427,,0.657,63.1,0.97
375,MUS,1990,505.0,2.2945,1494382336.0,0.515,69.4,0.63
376,MUS,1995,485.0,2.1345,2560235520.0,0.485,70.5,0.83
377,MUS,2000,381.0,1.9754,3028757504.0,0.486,71.6,0.89
